Fred giró el volante.,Fred turned the wheel.,,,,,,Spanish,English
arrojó un chorro de té,squirted a stream of tea,,,,,,Spanish,English
asir,to grab/grip,,,,,,Spanish,English
tenemos el cobertizo lleno de chismes muggles,we've got a shed full of Muggle gadgets,,,,,,Spanish,English
Han puesto un l[1] diciendo que no se puede nadar allí.,They have put up a sign saying that you can't swim there.<br>---<br>1 - letrero,,,,,,Spanish,English
En torno a la puerta principal había un revoltijo de botas de goma y un caldero muy oxidado.,Around the front door was a jumble/mess of rubber boots and a rusty cauldron.,,,,,,Spanish,English
La señora Weasley iba por el corral espantando a las gallinas,Mrs. Weasley was going around the farmyard shooing/scaring away the chickens.,,,,,,Spanish,English
—¡Ah! —musitó Fred.,"-Ah,"" Fred muttered.",,,,,,Spanish,English
un tono aterrador,a terrifying tone,,,,,,Spanish,English
Vas a enronquecer.,You're going to go hoarse.,,,,= poner ronco,,Spanish,English
todo en la cocina estaba bastante apretujado,everything in the kitchen was quite cramped/squashed together,,,,,,Spanish,English
No se sabe quién hundió al Bismarck.,It is not known who sank Bismarck.,,,,,,Spanish,English
letras doradas de fantasía,fancy gold lettering,,,,,,Spanish,English
guiñó un ojo a todos con descaro,he winked cheekily at them all,,,,,,Spanish,English
madera nudosa,knotty wood,,,,,,Spanish,English
Tiene una voz grave y aterciopelada.,"He has a deep, velvety voice.",,,,,,Spanish,English
—¡Qué noche! —far[1],"-What a night,"" he mumbled/gabbled/jabbered.<br>---<br>1 - farfulló",,,,,,Spanish,English
cachivaches muggles,Muggle knick-knacks/rubbish,,,,,,Spanish,English
