una voz tan agu­da,such a high-pitched/piercing voice,,,,,,Spanish,English
—¡Mi ca­ba­lle­ri­to ideal! —sus­pi­ró tía Pe­tu­nia.,"-My ideal little gentleman,"" sighed Aunt Petunia.",,,,,,Spanish,English
"te­nía unas gran­des ore­jas, pa­re­ci­das a las de un mur­ciéla­go","had big ears, similar to those of a bat.",,,,,,Spanish,English
y unos ojos ver­des y sal­to­nes del ta­ma­ño de pe­lo­tas de te­nis,and bulging green eyes the size of tennis balls,,,,,,Spanish,English
su lar­ga y afi­la­da na­riz,"its long, sharp nose",,,,,,Spanish,English
pero pen­só que so­na­ría de­ma­sia­do gro­se­ro,but thought it would sound too rude,,,,,,Spanish,English
"—¿Quién es us­ted? —Do­bby, se­ñor. Do­bby a se­cas.","-Who are you? Dobby, sir, just Dobby.",,,,,,Spanish,English
La señal entrecortada,The choppy/intermittent signal,,,,can also be faltering/choked with emotion,,Spanish,English
"Ha­rry dio un bu­fi­do, se acer­có al elfo de un sal­to y tiró de él has­ta de­vol­ver­lo a la cama.","Harry gave a snort/snarl, approached the elf and pulled him back onto the bed.",,,,,,Spanish,English
Yo iré a la imprenta. Me pilla de camino a casa.,I'll go to the printer's. It's on my way home.,,,,,,Spanish,English
(sobre Dobby),-But won't they notice that you have slammed your ears in the oven door?,,,,,,Spanish,English
"Do­bby es­ta­ba al tan­to de su gran­de­za, se­ñor","Dobby was aware of your greatness, sir.",,,,,,Spanish,English
Le res­plan­de­cían los ojos gran­des y re­don­dos,"His big, round eyes were sparkling/gleaming",,,,,,Spanish,English
dijo con voz que­bra­da,he said in a broken voice,,,,,,Spanish,English
Ha­rry Po­tter es arro­ja­do,Harry Potter is daring/brave,,,,,,Spanish,English
acto seguido,right/immediately after,,,,,,Spanish,English
