"exclamó Harry, encaramándose a la ventana","Harry exclaimed, climbing up to the window.",,,,also to perch/sit up high,,Spanish,English
un apercibimiento oficial,an official warning/caution,,,,,,Spanish,English
Tengo que llevar esta americana al sastre porque el otro día se me des[1] un botón.,I have to take this jacket/blazer to the tailor because a button came off the other day.<br>---<br>1 - desprendió,,,,,,Spanish,English
una horquilla,a hairpin/hairclip,,,una horquilla del pelo,,,Spanish,English
El monstruo estaba siendo perseguido por una t[1] enar[2] de campesinos con h[3] en mano.,The monster was being chased by an angry mob of peasants with pitchforks in hand.<br>---<br>1 - turba<br>2 - enardecida<br>3 - horcas,,,,enardecer = to inflame,,Spanish,English
atronador,defeaning/thunderous,,,,,,Spanish,English
el mugido,the moo,,,,also bellow/bellowing of a bull<br>or roar/howl of pain,,Spanish,English
cerrar la puerta con un p[1],slam the door shut<br>---<br>1 - portazo,,,,,,Spanish,English
"Los Weasley se rieron a c[1], y Harry se re[2] en el asiento.","The Weasleys burst out laughing, and Harry leaned back in his seat.<br>---<br>1 - carcajadas<br>2 - recostó",,,,,,Spanish,English
casas solariegas,family seat/ancestral home,,,,"solariego = ancient & noble, manorial, ancestral",,Spanish,English
Él no tenía ínfulas.,He had no pretensions.<br>/There were no airs about him.,,,,,,Spanish,English
de postín,posh,,,darse postín = to show off,,,Spanish,English
